file,total_issues,empty_labels,nonempty_labels,percent_with_labels,unique_labels,top_labels
s-nagaev_chibi_llm_issues.json,7,0,7,100.0,2,"[('enhancement', 7), ('good first issue', 1)]"
h2oai_h2ogpt_llm_issues.json,116,95,21,18.1,8,"[('type/question', 10), ('type/feature', 6), ('resolution/wontfix', 3), ('reporter/support', 1), ('cust-citi', 1)]"
LLMine_llmine_core_llm_issues.json,1,1,0,0.0,0,"[]"
OldCodersClub_LariskaBot_llm_issues.json,2,2,0,0.0,0,"[]"
rohitg00_manim-video-generator_llm_issues.json,2,2,0,0.0,0,"[]"
RockChinQ_free-one-api_llm_issues.json,8,8,0,0.0,0,"[]"
daveebbelaar_python-whatsapp-bot_llm_issues.json,15,15,0,0.0,0,"[]"
Avaiga_demo-chatbot_llm_issues.json,2,2,0,0.0,0,"[]"
jw782cn_RepoChat-200k_llm_issues.json,1,1,0,0.0,0,"[]"
securityfortech_secops-mcp_llm_issues.json,3,3,0,0.0,0,"[]"
muellerberndt_mini-agi_llm_issues.json,4,4,0,0.0,0,"[]"
voxos-ai_bolna_llm_issues.json,19,15,4,21.1,3,"[('fixed', 2), ('bug', 2), ('discussion', 1)]"
c0sogi_LLMChat_llm_issues.json,1,1,0,0.0,0,"[]"
szczyglis-dev_py-gpt_llm_issues.json,105,43,62,59.0,6,"[('bug', 32), ('feature', 26), ('wontfix', 3), ('good first issue', 2), ('documentation', 1)]"
kaifcoder_gemini_multipdf_chat_llm_issues.json,2,2,0,0.0,0,"[]"
llm_app_search_results.json,513,513,0,0.0,0,"[]"
devnen_Dia-TTS-Server_llm_issues.json,16,16,0,0.0,0,"[]"
zhayujie_bot-on-anything_llm_issues.json,8,8,0,0.0,0,"[]"
llm_app_analysis.json,513,513,0,0.0,0,"[]"
yjg30737_pyqt-openai_llm_issues.json,9,9,0,0.0,0,"[]"
junruxiong_IncarnaMind_llm_issues.json,1,1,0,0.0,0,"[]"
Lex-au_Orpheus-FastAPI_llm_issues.json,51,18,33,64.7,5,"[('question', 20), ('enhancement', 9), ('documentation', 2), ('help wanted', 1), ('bug', 1)]"
jakobdylanc_llmcord_llm_issues.json,34,34,0,0.0,0,"[]"
Snaiel_OpenAI-Milvus-QA-Over-Docs_llm_issues.json,1,1,0,0.0,0,"[]"
jackwuwei_gptspeaker_llm_issues.json,2,2,0,0.0,0,"[]"
PromtEngineer_Verbi_llm_issues.json,17,17,0,0.0,0,"[]"
yuruotong1_autoMate_llm_issues.json,104,40,64,61.5,3,"[('bug', 35), ('enhancement', 26), ('documentation', 3)]"
vladislav-bordiug_ChatGPT_DALL_E_StableDiffusion_Telegram_Bot_llm_issues.json,1,1,0,0.0,0,"[]"
GaiZhenbiao_ChuanhuChatGPT_llm_issues.json,44,6,38,86.4,9,"[('bug', 15), ('question', 11), ('feature request', 9), ('localhost deployment', 5), ('ðŸ¤– model', 3)]"
ddean2009_MoneyPrinterPlus_llm_issues.json,118,118,0,0.0,0,"[]"
hc20k_LLMChat_llm_issues.json,4,4,0,0.0,0,"[]"
JakeFurtaw_Chat-RAG_llm_issues.json,9,9,0,0.0,0,"[]"
zyzisastudyreallyhardguy_LLM4SD_llm_issues.json,2,2,0,0.0,0,"[]"
aju22_DocumentGPT_llm_issues.json,2,2,0,0.0,0,"[]"
business-science_ai-data-science-team_llm_issues.json,56,18,38,67.9,4,"[('enhancement', 26), ('bug', 7), ('question', 7), ('documentation', 1)]"
rahul2002m_ChatPDF_llm_issues.json,1,1,0,0.0,0,"[]"
AstrBotDevs_AstrBot_llm_issues.json,200,10,190,95.0,6,"[('bug', 80), ('enhancement', 61), ('plugin-publish', 49), ('open-for-contribution', 4), ('welcome-plugin', 3)]"
bhaskatripathi_pdfGPT_llm_issues.json,3,3,0,0.0,0,"[]"
sunilkumardash9_Pdf-GPT_llm_issues.json,1,1,0,0.0,0,"[]"
strnad_CrewAI-Studio_llm_issues.json,35,34,1,2.9,1,"[('enhancement', 1)]"
jbexta_AgentPilot_llm_issues.json,4,4,0,0.0,0,"[]"
seratch_ChatGPT-in-Slack_llm_issues.json,9,0,9,100.0,3,"[('question', 6), ('enhancement', 3), ('good first issue', 1)]"
summarizepaper_summarizepaper_llm_issues.json,1,1,0,0.0,0,"[]"
cirediatpl_FigmaChain_llm_issues.json,1,1,0,0.0,0,"[]"
peterw_Chat-with-Github-Repo_llm_issues.json,2,2,0,0.0,0,"[]"
IntelligenzaArtificiale_Free-Auto-GPT_llm_issues.json,2,2,0,0.0,0,"[]"
mak448a_AI-Drawing-Chatbot_llm_issues.json,8,3,5,62.5,4,"[('enhancement', 3), ('bug', 2), ('code improvements', 1), ('confirmed', 1)]"
